Unnamed: 0,Unnamed: 1,Unnamed: 2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,minus_log10_pvalue,regulation,EnsemblID,GeneSymbol,GeneSymbol_upper,MouseGeneID,HumanOrthologGeneID,Symbol,Synonyms,Description,MitoCarta3.0_List,MitoCarta3.0_Evidence,MitoCarta3.0_SubMitoLocalization,MitoCarta3.0_MitoPathways,TrainingDataset,MitoCarta2.0_Score,MitoCarta2.0_FDR,MitoCarta2.0_List,MitoCarta2.0_Evidence,EnsemblGeneID,UniProt,ProteinLength,TargetP_Score,MitoDomain_Score,CoexpressionGnfN50_Score,PGC_Induction_Score,YeastMitoHomolog_Score,RickettsiaHomolog_Score,MSMS_Score,mm10_Chromosome,mm10_Start,mm10_Stop,MSMS_NUM_TISSUES,MSMS_NUM_PEPTIDES_UNIQUE,MSMS_NUM_SPECTRA,MSMS_TOTAL_INTENSITY,MSMS_PERCENT_COVERAGE,Tissues,cerebrum_total_peak_intensity_log10,cerebellum_total_peak_intensity_log10,brainstem_total_peak_intensity_log10,spinalcord_total_peak_intensity_log10,kidney_total_peak_intensity_log10,liver_total_peak_intensity_log10,heart_total_peak_intensity_log10,skeletalmuscle_total_peak_intensity_log10,adipose_total_peak_intensity_log10,smallintestine_total_peak_intensity_log10,largeintestine_total_peak_intensity_log10,stomach_total_peak_intensity_log10,placenta_total_peak_intensity_log10,testis_total_peak_intensity_log10,HPA_Main_Location_2020 (Reliability),MouseGeneID_clean,is_mitochondrial,pathway_categories
ENSMUSG00000003955,ENSMUSG00000003955,Fam162a,650.9604432,-0.660826653,0.155418375,-4.251920999,2.12e-05,0.000130543,"4,673777581",down,ENSMUSG00000003955,Fam162a,FAM162A,70186.0,26355.0,Fam162a,2310056P07Rik|HGTD-P,"family with sequence similarity 162, member A",MitoCarta3.0,"APEX_IMS, APEX_matrix, targetP signal, induction, coexpression, MS/MS++",MIM,0,Tmito,12.874,0.011,1.0,"APEX_IMS, APEX_matrix, targetP signal, induction, coexpression, MS/MS++",ENSMUSG00000003955,Q9D6U8,155.0,3.0,,5.0,0.61,NoMitoHomolog,NoHomolog,50-75pure,chr16,36043843.0,36071515.0,14.0,15.0,513.0,30300000000.0,59.0,all 14,9.4,9.1,9.4,9.2,8.8,9.2,9.1,8.5,8.9,9.1,9.8,9.2,9.7,9.4,Cytosol;Mitochondria (Enhanced),70186,True,[]
ENSMUSG00000004561,ENSMUSG00000004561,Mettl17,274.9365663,-0.791174036,0.15232812,-5.193880389,2.06e-07,2.3e-06,"6,686226625",down,ENSMUSG00000004561,Mettl17,METTL17,52535.0,64745.0,Mettl17,2310032K15Rik|D14Ertd209|D14Ertd209e|Mett11d1,methyltransferase like 17,MitoCarta3.0,"GFP, targetP signal+, yeast mito homolog++, mito protein domain+",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,Tmito,15.7892,0.007,1.0,"GFP, targetP signal+, yeast mito homolog++, mito protein domain+",ENSMUSG00000004561,Q3U2U7,461.0,1.0,MitoDomain,2.0,,OrthologMitoHighConf,NoHomolog,,chr14,51884841.0,51891868.0,,,,,,,,,,,,,,,,,,,,,Nucleoplasm (Enhanced),52535,True,"['Mitochondrial ribosome', 'Translation factors']"
ENSMUSG00000004748,ENSMUSG00000004748,Mtfp1,821.6213125,-1.022213675,0.254602394,-4.014941332,5.95e-05,0.000316486,"4,225770834",down,ENSMUSG00000004748,Mtfp1,MTFP1,67900.0,51537.0,Mtfp1,1700020C11Rik|2610507A21Rik|AV005788|Mtp1|Mtp18,mitochondrial fission process 1,MitoCarta3.0,"literature, induction, coexpression, MS/MS+",Membrane,Mitochondrial dynamics and surveillance > Fission,Tmito,8.2128,0.03,1.0,"literature, induction, coexpression, MS/MS+",ENSMUSG00000004748,Q9CRB8,166.0,,,14.0,1.18,NoMitoHomolog,NoHomolog,75-100ambig,chr11,4091480.0,4095431.0,14.0,14.0,302.0,11200000000.0,92.0,all 14,9.3,9.2,9.4,8.7,8.9,8.8,9.2,8.6,8.1,8.3,8.4,8.7,7.5,8.4,Mitochondria (Approved),67900,True,[]
ENSMUSG00000005674,ENSMUSG00000005674,Tomm40l,884.0244321,-1.016377933,0.172563198,-5.889888137,3.86e-09,6.53e-08,"8,412898684",down,ENSMUSG00000005674,Tomm40l,TOMM40L,641376.0,84134.0,Tomm40l,-,translocase of outer mitochondrial membrane 40-like,MitoCarta3.0,"targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS",MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",Tpossible_mito,24.6574,0.003,1.0,"targetP signal, yeast mito homolog+, mito protein domain+, induction, coexpression+, MS/MS",ENSMUSG00000005674,Q9CZR3,308.0,4.0,MitoDomain,39.0,1.01,OrthologMitoLowConf,NoHomolog,25-50ambig,chr1,171217802.0,171222514.0,8.0,6.0,36.0,536000000.0,28.0,"cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, stomach, testis",8.3,8.0,7.6,8.0,,,,,7.7,,7.5,7.0,,7.3,,641376,True,[]
ENSMUSG00000006378,ENSMUSG00000006378,Gcat,152.3849988,-0.601528151,0.203894844,-2.950188148,0.003175805,0.009441934,"2,498146216",down,ENSMUSG00000006378,Gcat,GCAT,26912.0,23464.0,Gcat,AI526977|Kb|Kbl,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase),MitoCarta3.0,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++",unknown,Metabolism > Amino acid metabolism > Glycine metabolism,Tmito,19.3301,0.003,1.0,"literature, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain, MS/MS++",ENSMUSG00000006378,O88986,416.0,2.0,SharedDomain,2.0,,OrthologMitoLowConf,Homolog,50-75pure,chr15,79030873.0,79042531.0,10.0,20.0,203.0,6370000000.0,65.0,"brainstem, spinalcord, kidney, liver, adipose, smallintestine, largeintestine, stomach, placenta, testis",,,7.4,7.8,8.8,9.3,,,8.0,8.8,8.1,8.9,9.3,8.4,Nucleoplasm (Supported),26912,True,[]
ENSMUSG00000006717,ENSMUSG00000006717,Acot13,1185.321539,-0.574216438,0.142637359,-4.025708565,5.68e-05,0.000304021,"4,245621029",down,ENSMUSG00000006717,Acot13,ACOT13,66834.0,55856.0,Acot13,0610006O17Rik|Them2,acyl-CoA thioesterase 13,MitoCarta3.0,"mito protein domain, induction, coexpression, MS/MS++",Matrix,Metabolism > Lipid metabolism,Tpossible_mito,16.364,0.004,1.0,"mito protein domain, induction, coexpression, MS/MS++",ENSMUSG00000006717,Q9CQR4,140.0,,SharedDomain,27.0,1.82,NoMitoHomolog,NoHomolog,75-100pure,chr13,24817954.0,24831489.0,14.0,17.0,859.0,74100000000.0,89.0,all 14,9.8,9.7,9.8,9.5,10.3,9.8,9.8,8.9,9.2,9.6,9.5,9.7,9.4,9.4,Cell Junctions (Approved),66834,True,[]
ENSMUSG00000007338,ENSMUSG00000007338,Mrpl49,602.2539295,-0.639188353,0.112837885,-5.664660905,1.47e-08,2.2e-07,"7,831751354",down,ENSMUSG00000007338,Mrpl49,MRPL49,18120.0,740.0,Mrpl49,L49mt|MRP-L49|No|Nof1,mitochondrial ribosomal protein L49,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Tmito,25.0414,0.003,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog++, mito protein domain, coexpression, MS/MS++",ENSMUSG00000007338,Q9CQ40,166.0,2.0,SharedDomain,10.0,,OrthologMitoHighConf,NoHomolog,75-100pure,chr19,6053629.0,6057751.0,14.0,16.0,158.0,4960000000.0,78.0,all 14,8.4,8.3,8.5,8.1,9.0,8.6,8.0,8.0,8.4,8.5,9.0,7.8,8.7,8.6,,18120,True,"['Mitochondrial ribosome', 'Translation factors']"
ENSMUSG00000007610,ENSMUSG00000007610,Gtpbp3,411.2044253,-0.51447849,0.118870653,-4.328053042,1.5e-05,9.77e-05,"4,822656176",down,ENSMUSG00000007610,Gtpbp3,GTPBP3,70359.0,84705.0,Gtpbp3,2410009F13Rik|AI607903|Gtpb,GTP binding protein 3,MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Tmito,11.0849,0.018,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog+, Rickettsial homolog, mito protein domain",ENSMUSG00000007610,Q923K4,492.0,4.0,SharedDomain,4.0,,OrthologMitoLowConf,Ortholog,0-25ambig,chr8,71488102.0,71493400.0,1.0,2.0,4.0,24900000.0,8.0,largeintestine,,,,,,,,,,,7.4,,,,Mitochondria (Supported),70359,True,[]
ENSMUSG00000008435,ENSMUSG00000008435,Rdh13,480.5240755,-0.675190443,0.162280395,-4.160640866,3.17e-05,0.000184127,"4,498453562",down,ENSMUSG00000008435,Rdh13,RDH13,108841.0,112724.0,Rdh13,8430425D21Rik,retinol dehydrogenase 13 (all-trans and 9-cis),MitoCarta3.0,"yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, MS/MS",MIM,Metabolism > Vitamin metabolism > Vitamin A metabolism,Tpossible_mito,15.0658,0.008,1.0,"yeast mito homolog+, Rickettsial homolog, mito protein domain, induction, MS/MS",ENSMUSG00000008435,Q8CEE7,334.0,,SharedDomain,0.0,2.35,OrthologMitoLowConf,Homolog,50-75ambig,chr7,4425664.0,4445657.0,9.0,18.0,69.0,886000000.0,53.0,"cerebrum, cerebellum, brainstem, spinalcord, adipose, largeintestine, stomach, placenta, testis",7.1,7.0,7.5,7.4,,,,,8.5,,7.3,7.2,8.6,8.0,Cytosol;Mitochondria (Supported),108841,True,[]
ENSMUSG00000009566,ENSMUSG00000009566,Fpgs,232.0164796,-0.519051644,0.148939501,-3.484983094,0.000492168,0.001935628,"3,307886506",down,ENSMUSG00000009566,Fpgs,FPGS,14287.0,2356.0,Fpgs,AA408187,folylpolyglutamyl synthetase,MitoCarta3.0,"APEX_matrix, GFP, targetP signal, yeast mito homolog, Rickettsial homolog",Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Tmito,6.9954,0.037,1.0,"APEX_matrix, GFP, targetP signal, yeast mito homolog, Rickettsial homolog",ENSMUSG00000009566,P48760,587.0,2.0,,4.0,,HomologMitoHighConf,Ortholog,,chr2,32682608.0,32694175.0,,,,,,,,,,,,,,,,,,,,,,14287,True,[]
ENSMUSG00000009863,ENSMUSG00000009863,Sdhb,7683.484379,-0.590709819,0.174272428,-3.389577034,0.000700005,0.002617458,"3,154898622",down,ENSMUSG00000009863,Sdhb,SDHB,67680.0,6390.0,Sdhb,0710008N11Rik,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)",MitoCarta3.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",MIM,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,Tmito,41.8214,0.0,1.0,"literature, APEX_matrix, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain+, induction, coexpression++, MS/MS++",ENSMUSG00000009863,Q9CQA3,282.0,2.0,MitoDomain,49.0,2.32,HomologMitoHighConf,Ortholog,75-100pure,chr4,140961270.0,140979192.0,14.0,34.0,1571.0,150000000000.0,82.0,all 14,9.9,9.6,9.9,10.0,10.1,10.2,10.3,9.2,10.1,10.3,9.9,9.9,10.1,9.9,Mitochondria (Supported),67680,True,"['Complex I', 'TCA cycle', 'Complex II']"
ENSMUSG00000013736,ENSMUSG00000013736,Trnt1,687.2413452,0.550615734,0.140567641,3.917087377,8.96e-05,0.000449405,"4,047569521",up,ENSMUSG00000013736,Trnt1,TRNT1,70047.0,51095.0,Trnt1,2410043H24Rik|2610044E04Rik|9830143O18Rik|AA408384|C76540|CGI-4|CGI-47|mt-Trat,"tRNA nucleotidyl transferase, CCA-adding, 1",MitoCarta3.0,"literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, MS/MS",Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,Tmito,18.0448,0.003,1.0,"literature, targetP signal, yeast mito homolog, Rickettsial homolog, mito protein domain, induction, MS/MS",ENSMUSG00000013736,Q8K1J6,434.0,2.0,SharedDomain,4.0,0.96,HomologMitoHighConf,Ortholog,25-50ambig,chr6,106769137.0,106782474.0,4.0,13.0,27.0,451000000.0,35.0,"spinalcord, adipose, placenta, testis",,,,7.2,,,,,7.5,,,,8.4,8.1,Mitochondria (Supported),70047,True,[]
ENSMUSG00000014606,ENSMUSG00000014606,Slc25a11,6181.835983,-0.564438,0.156119734,-3.615417391,0.000299864,0.001269279,"3,523075543",down,ENSMUSG00000014606,Slc25a11,SLC25A11,67863.0,8402.0,Slc25a11,2310022P18Rik|2ox|2oxoc,"solute carrier family 25 (mitochondrial carrier oxoglutarate carrier), member 11",MitoCarta3.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",MIM,Metabolism > Carbohydrate metabolism > Gluconeogenesis | Metabolism > Carbohydrate metabolism > Malate-aspartate shuttle | Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > SLC25A family,Tmito,27.0334,0.004,1.0,"literature, yeast mito homolog+, mito protein domain+, induction, coexpression, MS/MS++",ENSMUSG00000014606,Q9CR62,314.0,,MitoDomain,24.0,1.31,OrthologMitoLowConf,NoHomolog,75-100pure,chr11,70644026.0,70647039.0,14.0,30.0,1717.0,122000000000.0,81.0,all 14,10.2,10.0,10.2,10.2,9.6,9.7,10.4,9.3,9.7,9.8,9.6,9.6,9.9,9.3,,67863,True,['Transporters']
ENSMUSG00000014633,ENSMUSG00000014633,Cmc2,285.2698059,-0.961341304,0.164564658,-5.841723945,5.17e-09,8.43e-08,"8,286817289",down,ENSMUSG00000014633,Cmc2,CMC2,66531.0,56942.0,Cmc2,1110046L09Rik|2310061C15Rik|DC13,COX assembly mitochondrial protein 2,MitoCarta3.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",IMS,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,Tmito,26.8673,0.004,1.0,"APEX_IMS, yeast mito homolog++, mito protein domain+, induction, coexpression, MS/MS+",ENSMUSG00000014633,Q8K199,79.0,,MitoDomain,28.0,2.74,OrthologMitoHighConf,NoHomolog,75-100ambig,chr8,116888684.0,116921436.0,10.0,11.0,58.0,205000000.0,90.0,"cerebrum, cerebellum, spinalcord, liver, heart, adipose, largeintestine, stomach, placenta, testis",7.2,7.1,,6.8,,7.6,6.5,,7.5,,7.5,6.9,7.6,7.2,Mitochondria (Supported),66531,True,"['Complex IV', 'Complex I']"
ENSMUSG00000015337,ENSMUSG00000015337,Endog,946.9761566,-0.797579622,0.177003678,-4.506005931,6.61e-06,4.79e-05,"5,180066416",down,ENSMUSG00000015337,Endog,ENDOG,13804.0,2021.0,Endog,-,endonuclease G,MitoCarta3.0,"literature, APEX_IMS, yeast mito homolog, mito protein domain, coexpression++, MS/MS",IMS,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay | Mitochondrial dynamics and surveillance > Apoptosis,Tmito,12.895,0.011,1.0,"literature, APEX_IMS, yeast mito homolog, mito protein domain, coexpression++, MS/MS",ENSMUSG00000015337,O08600,294.0,,SharedDomain,42.0,,HomologMitoLowConf,NoHomolog,50-75ambig,chr2,30171523.0,30174069.0,14.0,18.0,182.0,4710000000.0,68.0,all 14,8.6,8.2,8.7,8.6,8.0,9.1,8.1,7.5,7.9,8.7,8.5,8.1,8.8,7.6,,13804,True,[]
